Disease,County,Year,Sex,Cases,Population,Rate,Lower 95% CI,Upper 95% CI,Annotation Code
Chlamydia,California,2001,Female,75941,17339700,438,434.9,441.1,
Chlamydia,California,2001,Male,24885,17173042,144.9,143.1,146.7,
Chlamydia,California,2001,Total,101590,34512742,294.4,292.6,296.2,
Chlamydia,California,2002,Female,81583,17554666,464.7,461.6,467.9,
Chlamydia,California,2002,Male,28521,17383624,164.1,162.2,166,
Chlamydia,California,2002,Total,110759,34938290,317,315.2,318.9,
Chlamydia,California,2003,Female,85153,17782868,478.8,475.6,482.1,
Chlamydia,California,2003,Male,31007,17606060,176.1,174.2,178.1,
Chlamydia,California,2003,Total,116385,35388928,328.9,327,330.8,
Chlamydia,California,2004,Female,89438,17968347,497.8,494.5,501,
Chlamydia,California,2004,Male,33652,17784418,189.2,187.2,191.3,
Chlamydia,California,2004,Total,123439,35752765,345.3,343.3,347.2,
Chlamydia,California,2005,Female,92362,18087299,510.6,507.4,513.9,
Chlamydia,California,2005,Male,36227,17898283,202.4,200.3,204.5,
Chlamydia,California,2005,Total,129177,35985582,359,357,360.9,
Chlamydia,California,2006,Female,97737,18219378,536.4,533.1,539.8,
Chlamydia,California,2006,Male,38105,18027444,211.4,209.3,213.5,
Chlamydia,California,2006,Total,136481,36246822,376.5,374.5,378.5,
Chlamydia,California,2007,Female,101893,18372905,554.6,551.2,558,
Chlamydia,California,2007,Male,40605,18179624,223.4,221.2,225.5,
Chlamydia,California,2007,Total,143014,36552529,391.3,389.2,393.3,
Chlamydia,California,2008,Female,104555,18525551,564.4,561,567.8,
Chlamydia,California,2008,Male,44163,18330671,240.9,238.7,243.2,
Chlamydia,California,2008,Total,149254,36856222,405,402.9,407,
Chlamydia,California,2009,Female,102008,18632980,547.5,544.1,550.8,
Chlamydia,California,2009,Male,45093,18444224,244.5,242.2,246.7,
Chlamydia,California,2009,Total,147605,37077204,398.1,396.1,400.1,
Chlamydia,California,2010,Female,106383,18775448,566.6,563.2,570,
Chlamydia,California,2010,Male,48371,18559637,260.6,258.3,263,
Chlamydia,California,2010,Total,155338,37335085,416.1,414,418.1,
Chlamydia,California,2011,Female,113184,18941919,597.5,594.1,601,
Chlamydia,California,2011,Male,51001,18733582,272.2,269.9,274.6,
Chlamydia,California,2011,Total,164667,37675501,437.1,435,439.2,
Chlamydia,California,2012,Female,115609,19126588,604.4,601,607.9,
Chlamydia,California,2012,Male,53724,18916176,284,281.6,286.4,
Chlamydia,California,2012,Total,169631,38042764,445.9,443.8,448,
Chlamydia,California,2013,Female,112748,19289907,584.5,581.1,587.9,
Chlamydia,California,2013,Male,54902,19083847,287.7,285.3,290.1,
Chlamydia,California,2013,Total,167866,38373754,437.5,435.4,439.5,
Chlamydia,California,2014,Female,114032,19467577,585.8,582.4,589.2,
Chlamydia,California,2014,Male,59989,19272223,311.3,308.8,313.8,
Chlamydia,California,2014,Total,174288,38739800,449.9,447.8,452,
Chlamydia,California,2015,Female,121795,19626358,620.6,617.1,624.1,
Chlamydia,California,2015,Male,67722,19433064,348.5,345.9,351.1,
Chlamydia,California,2015,Total,189822,39059422,486,483.8,488.2,
Chlamydia,California,2016,Female,124011,19750146,627.9,624.4,631.4,
Chlamydia,California,2016,Male,73757,19562083,377,374.3,379.8,
Chlamydia,California,2016,Total,198384,39312229,504.6,502.4,506.9,
Chlamydia,California,2017,Female,134992,19892584,678.6,675,682.2,
Chlamydia,California,2017,Male,83267,19720461,422.2,419.4,425.1,
Chlamydia,California,2017,Total,218728,39613045,552.2,549.9,554.5,
Chlamydia,Alameda,2001,Female,3691,746596,494.4,478.6,510.5,
Chlamydia,Alameda,2001,Male,1126,718968,156.6,147.6,166,
Chlamydia,Alameda,2001,Total,4861,1465564,331.7,322.4,341.1,
Chlamydia,Alameda,2002,Female,3729,747987,498.5,482.7,514.8,
Chlamydia,Alameda,2002,Male,1126,720481,156.3,147.3,165.7,
Chlamydia,Alameda,2002,Total,4870,1468468,331.6,322.4,341.1,
Chlamydia,Alameda,2003,Female,3780,747441,505.7,489.8,522.1,
Chlamydia,Alameda,2003,Male,1143,719746,158.8,149.7,168.3,
Chlamydia,Alameda,2003,Total,4928,1467187,335.9,326.6,345.4,
Chlamydia,Alameda,2004,Female,3995,746723,535,518.6,551.8,
Chlamydia,Alameda,2004,Male,1247,718817,173.5,164,183.4,
Chlamydia,Alameda,2004,Total,5249,1465540,358.2,348.6,368,
Chlamydia,Alameda,2005,Female,3914,743878,526.2,509.8,542.9,
Chlamydia,Alameda,2005,Male,1288,716004,179.9,170.2,190,
Chlamydia,Alameda,2005,Total,5205,1459882,356.5,346.9,366.3,
Chlamydia,Alameda,2006,Female,4462,746458,597.8,580.4,615.5,
Chlamydia,Alameda,2006,Male,1560,718381,217.2,206.5,228.2,
Chlamydia,Alameda,2006,Total,6029,1464839,411.6,401.3,422.1,
Chlamydia,Alameda,2007,Female,5154,752302,685.1,666.6,704,
Chlamydia,Alameda,2007,Male,1929,724099,266.4,254.7,278.5,
Chlamydia,Alameda,2007,Total,7087,1476401,480,468.9,491.3,
Chlamydia,Alameda,2008,Female,4961,760122,652.7,634.7,671,
Chlamydia,Alameda,2008,Male,2004,731659,273.9,262.1,286.1,
Chlamydia,Alameda,2008,Total,6973,1491781,467.4,456.5,478.5,
Chlamydia,Alameda,2009,Female,4703,765745,614.2,596.8,631.9,
Chlamydia,Alameda,2009,Male,2081,738082,281.9,270,294.3,
Chlamydia,Alameda,2009,Total,6785,1503827,451.2,440.5,462,
Chlamydia,Alameda,2010,Female,4781,772321,619,601.7,636.8,
Chlamydia,Alameda,2010,Male,2247,743033,302.4,290.1,315.2,
Chlamydia,Alameda,2010,Total,7029,1515354,463.9,453.1,474.8,
Chlamydia,Alameda,2011,Female,4599,780441,589.3,572.4,606.5,
Chlamydia,Alameda,2011,Male,2049,751745,272.6,260.9,284.6,
Chlamydia,Alameda,2011,Total,6653,1532186,434.2,423.9,444.8,
Chlamydia,Alameda,2012,Female,4351,791530,549.7,533.5,566.2,
Chlamydia,Alameda,2012,Male,2155,763168,282.4,270.6,294.5,
Chlamydia,Alameda,2012,Total,6507,1554698,418.5,408.5,428.8,
Chlamydia,Alameda,2013,Female,4263,802236,531.4,515.6,547.5,
Chlamydia,Alameda,2013,Male,2191,773787,283.2,271.4,295.2,
Chlamydia,Alameda,2013,Total,6458,1576023,409.8,399.9,419.9,
Chlamydia,Alameda,2014,Female,4370,814635,536.4,520.7,552.5,
Chlamydia,Alameda,2014,Male,2636,785731,335.5,322.8,348.5,
Chlamydia,Alameda,2014,Total,7014,1600366,438.3,428.1,448.6,
Chlamydia,Alameda,2015,Female,4924,824964,596.9,580.4,613.7,
Chlamydia,Alameda,2015,Male,3138,796041,394.2,380.6,408.2,
Chlamydia,Alameda,2015,Total,8068,1621005,497.7,486.9,508.7,
Chlamydia,Alameda,2016,Female,4769,832818,572.6,556.5,589.1,
Chlamydia,Alameda,2016,Male,3393,804358,421.8,407.8,436.2,
Chlamydia,Alameda,2016,Total,8174,1637176,499.3,488.5,510.2,
Chlamydia,Alameda,2017,Female,5148,839377,613.3,596.7,630.2,
Chlamydia,Alameda,2017,Male,4018,811441,495.2,480,510.7,
Chlamydia,Alameda,2017,Total,9193,1650818,556.9,545.6,568.3,
Chlamydia,Alpine,2001,Female,0,589,0,0,624.3,#
Chlamydia,Alpine,2001,Male,0,648,0,0,567.7,#
Chlamydia,Alpine,2001,Total,1,1237,80.8,2,449.6,*
Chlamydia,Alpine,2002,Female,,594,,,,s
Chlamydia,Alpine,2002,Male,,654,,,,s
Chlamydia,Alpine,2002,Total,1,1248,80.1,2,445.6,*
Chlamydia,Alpine,2003,Female,,596,,,,s
Chlamydia,Alpine,2003,Male,,653,,,,s
Chlamydia,Alpine,2003,Total,3,1249,240.2,49.6,700.3,*
Chlamydia,Alpine,2004,Female,0,607,0,0,605.9,#
Chlamydia,Alpine,2004,Male,0,659,0,0,558.2,#
Chlamydia,Alpine,2004,Total,0,1266,0,0,291,#
Chlamydia,Alpine,2005,Female,0,580,0,0,634,#
Chlamydia,Alpine,2005,Male,0,628,0,0,585.7,#
Chlamydia,Alpine,2005,Total,0,1208,0,0,304.9,#
Chlamydia,Alpine,2006,Female,,605,,,,s
Chlamydia,Alpine,2006,Male,,650,,,,s
Chlamydia,Alpine,2006,Total,2,1255,159.4,19.3,574.5,*
Chlamydia,Alpine,2007,Female,0,599,0,0,613.9,#
Chlamydia,Alpine,2007,Male,0,649,0,0,566.8,#
Chlamydia,Alpine,2007,Total,0,1248,0,0,295.1,#
Chlamydia,Alpine,2008,Female,0,581,0,0,632.9,#
Chlamydia,Alpine,2008,Male,0,627,0,0,586.6,#
Chlamydia,Alpine,2008,Total,0,1208,0,0,304.9,#
Chlamydia,Alpine,2009,Female,,570,,,,s
Chlamydia,Alpine,2009,Male,,610,,,,s
Chlamydia,Alpine,2009,Total,2,1180,169.5,20.5,610.9,*
Chlamydia,Alpine,2010,Female,0,569,0,0,646.2,#
Chlamydia,Alpine,2010,Male,0,606,0,0,606.9,#
Chlamydia,Alpine,2010,Total,0,1175,0,0,313.5,#
Chlamydia,Alpine,2011,Female,,569,,,,s
Chlamydia,Alpine,2011,Male,,601,,,,s
Chlamydia,Alpine,2011,Total,1,1170,85.5,2.2,475.3,*
Chlamydia,Alpine,2012,Female,,564,,,,s
Chlamydia,Alpine,2012,Male,,602,,,,s
Chlamydia,Alpine,2012,Total,2,1166,171.5,20.8,618.2,*
Chlamydia,Alpine,2013,Female,,562,,,,s
Chlamydia,Alpine,2013,Male,,602,,,,s
Chlamydia,Alpine,2013,Total,2,1164,171.8,20.8,619.3,*
Chlamydia,Alpine,2014,Female,,564,,,,s
Chlamydia,Alpine,2014,Male,,599,,,,s
Chlamydia,Alpine,2014,Total,3,1163,258,53.2,752,*
Chlamydia,Alpine,2015,Female,,562,,,,s
Chlamydia,Alpine,2015,Male,,595,,,,s
Chlamydia,Alpine,2015,Total,1,1157,86.4,2.2,480.6,*
Chlamydia,Alpine,2016,Female,,558,,,,s
Chlamydia,Alpine,2016,Male,,592,,,,s
Chlamydia,Alpine,2016,Total,4,1150,347.8,94.9,888.2,*
Chlamydia,Alpine,2017,Female,,556,,,,s
Chlamydia,Alpine,2017,Male,,585,,,,s
Chlamydia,Alpine,2017,Total,9,1141,788.8,361.3,1492.1,*
Chlamydia,Amador,2001,Female,,16101,,,,s
Chlamydia,Amador,2001,Male,,19683,,,,s
Chlamydia,Amador,2001,Total,15,35784,41.9,23.5,69.1,
Chlamydia,Amador,2002,Female,,16416,,,,s
Chlamydia,Amador,2002,Male,,20119,,,,s
Chlamydia,Amador,2002,Total,32,36535,87.6,59.9,123.6,
Chlamydia,Amador,2003,Female,,16572,,,,s
Chlamydia,Amador,2003,Male,,20204,,,,s
Chlamydia,Amador,2003,Total,31,36776,84.3,57.3,119.6,
Chlamydia,Amador,2004,Female,,16732,,,,s
Chlamydia,Amador,2004,Male,,20415,,,,s
Chlamydia,Amador,2004,Total,21,37147,56.5,35,86.4,
Chlamydia,Amador,2005,Female,24,16990,141.3,90.5,210.1,
Chlamydia,Amador,2005,Male,26,20732,125.4,81.9,183.7,
Chlamydia,Amador,2005,Total,50,37722,132.5,98.4,174.7,
Chlamydia,Amador,2006,Female,34,17119,198.6,137.6,277.4,
Chlamydia,Amador,2006,Male,27,20845,129.5,85.4,188.4,
Chlamydia,Amador,2006,Total,61,37964,160.7,122.9,206.4,
Chlamydia,Amador,2007,Female,48,17207,279,205.8,369.7,
Chlamydia,Amador,2007,Male,28,20878,134.1,89.1,193.8,
Chlamydia,Amador,2007,Total,76,38085,199.6,157.3,249.7,
Chlamydia,Amador,2008,Female,35,17163,203.9,142.1,283.5,
Chlamydia,Amador,2008,Male,35,20701,169.1,117.8,235.1,
Chlamydia,Amador,2008,Total,70,37864,184.9,144.1,233.5,
Chlamydia,Amador,2009,Female,35,17197,203.5,141.8,282.9,
Chlamydia,Amador,2009,Male,49,20708,236.6,175.1,312.7,
Chlamydia,Amador,2009,Total,84,37905,221.6,176.8,274.3,
Chlamydia,Amador,2010,Female,35,17387,201.3,140.3,279.8,
Chlamydia,Amador,2010,Male,36,20682,174.1,121.9,240.9,
Chlamydia,Amador,2010,Total,71,38069,186.5,145.7,235.2,
Chlamydia,Amador,2011,Female,38,17504,217.1,153.7,297.9,
Chlamydia,Amador,2011,Male,19,20390,93.2,56.1,145.5,
Chlamydia,Amador,2011,Total,57,37894,150.4,113.9,194.8,
Chlamydia,Amador,2012,Female,48,17645,272,200.6,360.5,
Chlamydia,Amador,2012,Male,18,20101,89.5,53.1,141.5,
Chlamydia,Amador,2012,Total,66,37746,174.9,135.3,222.4,
Chlamydia,Amador,2013,Female,49,17643,277.7,205.5,367,
Chlamydia,Amador,2013,Male,24,19939,120.4,77.1,179,
Chlamydia,Amador,2013,Total,73,37582,194.2,152.3,244.2,
Chlamydia,Amador,2014,Female,36,17554,205.1,143.7,283.8,
Chlamydia,Amador,2014,Male,19,19894,95.5,57.5,149.1,
Chlamydia,Amador,2014,Total,55,37448,146.9,110.7,191.1,
Chlamydia,Amador,2015,Female,51,17493,291.5,217.1,383.2,
Chlamydia,Amador,2015,Male,15,19820,75.7,42.4,124.8,
Chlamydia,Amador,2015,Total,66,37313,176.9,136.8,225,
Chlamydia,Amador,2016,Female,68,17210,395.1,307,500.6,
Chlamydia,Amador,2016,Male,27,19971,135.2,89.1,196.6,
Chlamydia,Amador,2016,Total,95,37181,255.5,206.8,312.3,
Chlamydia,Amador,2017,Female,53,17148,309.1,231.6,404.1,
Chlamydia,Amador,2017,Male,13,19902,65.3,34.8,111.7,
Chlamydia,Amador,2017,Total,66,37050,178.1,137.8,226.6,
Chlamydia,Butte,2001,Female,287,104697,274.1,243.4,307.7,
Chlamydia,Butte,2001,Male,92,101033,91.1,73.4,111.7,
Chlamydia,Butte,2001,Total,380,205730,184.7,166.6,204.2,
Chlamydia,Butte,2002,Female,312,105823,294.8,263.1,329.4,
Chlamydia,Butte,2002,Male,100,102331,97.7,79.5,118.8,
Chlamydia,Butte,2002,Total,412,208154,197.9,179.3,218,
Chlamydia,Butte,2003,Female,440,106998,411.2,373.8,451.4,
Chlamydia,Butte,2003,Male,138,103625,133.2,111.9,157.3,
Chlamydia,Butte,2003,Total,579,210623,274.9,253,298.2,
Chlamydia,Butte,2004,Female,506,107746,469.6,429.7,512.3,
Chlamydia,Butte,2004,Male,188,104466,180,155.2,207.6,
Chlamydia,Butte,2004,Total,698,212212,328.9,305,354.2,
Chlamydia,Butte,2005,Female,458,108417,422.4,384.7,462.9,
Chlamydia,Butte,2005,Male,173,105281,164.3,140.8,190.7,
Chlamydia,Butte,2005,Total,631,213698,295.3,272.7,319.2,
Chlamydia,Butte,2006,Female,520,109338,475.6,435.7,518.2,
Chlamydia,Butte,2006,Male,204,106346,191.8,166.4,220,
Chlamydia,Butte,2006,Total,724,215684,335.7,311.7,361,
Chlamydia,Butte,2007,Female,584,110027,530.8,488.7,575.5,
Chlamydia,Butte,2007,Male,204,107088,190.5,165.3,218.5,
Chlamydia,Butte,2007,Total,793,217115,365.2,340.3,391.5,
Chlamydia,Butte,2008,Female,439,110685,396.6,360.4,435.4,
Chlamydia,Butte,2008,Male,162,107800,150.3,128,175.3,
Chlamydia,Butte,2008,Total,601,218485,275.1,253.5,297.9,
Chlamydia,Butte,2009,Female,513,110967,462.3,423.2,504,
Chlamydia,Butte,2009,Male,215,108320,198.5,172.9,226.8,
Chlamydia,Butte,2009,Total,730,219287,332.9,309.2,357.9,
Chlamydia,Butte,2010,Female,547,111120,492.3,452,535.2,
Chlamydia,Butte,2010,Male,251,109073,230.1,202.6,260.4,
Chlamydia,Butte,2010,Total,802,220193,364.2,339.5,390.3,
Chlamydia,Butte,2011,Female,626,111166,563.1,520,608.9,
Chlamydia,Butte,2011,Male,254,109397,232.2,204.5,262.5,
Chlamydia,Butte,2011,Total,884,220563,400.8,374.9,428.1,
Chlamydia,Butte,2012,Female,603,111704,539.8,497.7,584.5,
Chlamydia,Butte,2012,Male,248,110004,225.4,198.3,255.3,
Chlamydia,Butte,2012,Total,851,221708,383.8,358.5,410.5,
Chlamydia,Butte,2013,Female,653,111852,583.8,540,630.2,
Chlamydia,Butte,2013,Male,273,110231,247.7,219.2,278.8,
Chlamydia,Butte,2013,Total,926,222083,417,390.6,444.6,
Chlamydia,Butte,2014,Female,752,112577,668,621.2,717.3,
Chlamydia,Butte,2014,Male,325,111150,292.4,261.5,325.9,
Chlamydia,Butte,2014,Total,1082,223727,483.6,455.3,513.2,
Chlamydia,Butte,2015,Female,763,112764,676.6,629.6,726.2,
Chlamydia,Butte,2015,Male,367,111416,329.4,296.6,364.8,
Chlamydia,Butte,2015,Total,1131,224180,504.5,475.6,534.7,
Chlamydia,Butte,2016,Female,894,113051,790.8,740,844.2,
Chlamydia,Butte,2016,Male,393,111710,351.8,317.9,388.3,
Chlamydia,Butte,2016,Total,1289,224761,573.5,542.7,605.6,
Chlamydia,Butte,2017,Female,834,113769,733.1,684.3,784.4,
Chlamydia,Butte,2017,Male,375,112701,332.7,300,368.1,
Chlamydia,Butte,2017,Total,1210,226470,534.3,504.7,565.2,
Chlamydia,Calaveras,2001,Female,,20794,,,,s
Chlamydia,Calaveras,2001,Male,,20634,,,,s
Chlamydia,Calaveras,2001,Total,26,41428,62.8,41,91.9,
Chlamydia,Calaveras,2002,Female,,21136,,,,s
Chlamydia,Calaveras,2002,Male,,20983,,,,s
Chlamydia,Calaveras,2002,Total,31,42119,73.6,50,104.5,
Chlamydia,Calaveras,2003,Female,,21655,,,,s
Chlamydia,Calaveras,2003,Male,,21531,,,,s
Chlamydia,Calaveras,2003,Total,34,43186,78.7,54.5,110,
Chlamydia,Calaveras,2004,Female,,22015,,,,s
Chlamydia,Calaveras,2004,Male,,21909,,,,s
Chlamydia,Calaveras,2004,Total,29,43924,66,44.2,94.8,
Chlamydia,Calaveras,2005,Female,,22427,,,,s
Chlamydia,Calaveras,2005,Male,,22346,,,,s
Chlamydia,Calaveras,2005,Total,43,44773,96,69.5,129.3,
Chlamydia,Calaveras,2006,Female,,22693,,,,s
Chlamydia,Calaveras,2006,Male,,22623,,,,s
Chlamydia,Calaveras,2006,Total,31,45316,68.4,46.5,97.1,
Chlamydia,Calaveras,2007,Female,,22842,,,,s
Chlamydia,Calaveras,2007,Male,,22796,,,,s
Chlamydia,Calaveras,2007,Total,32,45638,70.1,48,99,
Chlamydia,Calaveras,2008,Female,25,22864,109.3,70.8,161.4,
Chlamydia,Calaveras,2008,Male,12,22838,52.5,27.2,91.8,
Chlamydia,Calaveras,2008,Total,37,45702,81,57,111.6,
Chlamydia,Calaveras,2009,Female,33,22797,144.8,99.7,203.2,
Chlamydia,Calaveras,2009,Male,12,22765,52.7,27.2,92.1,
Chlamydia,Calaveras,2009,Total,45,45562,98.8,72.1,132.1,
Chlamydia,Calaveras,2010,Female,,22738,,,,s
Chlamydia,Calaveras,2010,Male,,22797,,,,s
Chlamydia,Calaveras,2010,Total,48,45535,105.4,77.7,139.7,
Chlamydia,Calaveras,2011,Female,48,22679,211.7,156.1,280.5,
Chlamydia,Calaveras,2011,Male,19,22735,83.6,50.3,130.5,
Chlamydia,Calaveras,2011,Total,67,45414,147.5,114.4,187.3,
Chlamydia,Calaveras,2012,Female,59,22632,260.7,198.5,336.1,
Chlamydia,Calaveras,2012,Male,24,22673,105.9,67.8,157.5,
Chlamydia,Calaveras,2012,Total,83,45305,183.2,145.9,227.1,
Chlamydia,Calaveras,2013,Female,,22557,,,,s
Chlamydia,Calaveras,2013,Male,,22559,,,,s
Chlamydia,Calaveras,2013,Total,73,45116,161.8,126.9,203.4,
Chlamydia,Calaveras,2014,Female,48,22528,213.1,157.1,282.4,
Chlamydia,Calaveras,2014,Male,19,22482,84.5,50.9,131.9,
Chlamydia,Calaveras,2014,Total,67,45010,148.9,115.4,189,
Chlamydia,Calaveras,2015,Female,46,22488,204.6,149.8,272.8,
Chlamydia,Calaveras,2015,Male,16,22411,71.4,40.8,115.9,
Chlamydia,Calaveras,2015,Total,62,44899,138.1,105.9,177,
Chlamydia,Calaveras,2016,Female,55,22428,245.2,184.8,319.1,
Chlamydia,Calaveras,2016,Male,30,22319,134.4,90.7,191.8,
Chlamydia,Calaveras,2016,Total,86,44747,192.2,153.8,237.3,
Chlamydia,Calaveras,2017,Female,50,22379,223.4,165.9,294.5,
Chlamydia,Calaveras,2017,Male,25,22230,112.5,72.8,166,
Chlamydia,Calaveras,2017,Total,76,44609,170.4,134.3,213.2,
Chlamydia,Colusa,2001,Female,,9370,,,,s
Chlamydia,Colusa,2001,Male,,9698,,,,s
Chlamydia,Colusa,2001,Total,31,19068,162.6,110.5,230.7,
Chlamydia,Colusa,2002,Female,,9515,,,,s
Chlamydia,Colusa,2002,Male,,9876,,,,s
Chlamydia,Colusa,2002,Total,31,19391,159.9,108.6,226.8,
Chlamydia,Colusa,2003,Female,,9661,,,,s
Chlamydia,Colusa,2003,Male,,10024,,,,s
Chlamydia,Colusa,2003,Total,16,19685,81.3,46.5,132,
Chlamydia,Colusa,2004,Female,,9891,,,,s
Chlamydia,Colusa,2004,Male,,10293,,,,s
Chlamydia,Colusa,2004,Total,32,20184,158.5,108.5,223.7,
Chlamydia,Colusa,2005,Female,,10072,,,,s
Chlamydia,Colusa,2005,Male,,10493,,,,s
Chlamydia,Colusa,2005,Total,32,20565,155.6,106.5,219.6,
Chlamydia,Colusa,2006,Female,,10228,,,,s
Chlamydia,Colusa,2006,Male,,10665,,,,s
Chlamydia,Colusa,2006,Total,47,20893,225,165.3,299,
Chlamydia,Colusa,2007,Female,,10337,,,,s
Chlamydia,Colusa,2007,Male,,10782,,,,s
Chlamydia,Colusa,2007,Total,25,21119,118.4,76.6,174.7,
Chlamydia,Colusa,2008,Female,,10363,,,,s
Chlamydia,Colusa,2008,Male,,10809,,,,s
Chlamydia,Colusa,2008,Total,22,21172,103.9,65.1,157.3,
Chlamydia,Colusa,2009,Female,,10373,,,,s
Chlamydia,Colusa,2009,Male,,10897,,,,s
Chlamydia,Colusa,2009,Total,22,21270,103.4,64.8,156.6,
Chlamydia,Colusa,2010,Female,,10422,,,,s
Chlamydia,Colusa,2010,Male,,11043,,,,s
Chlamydia,Colusa,2010,Total,31,21465,144.4,98.1,204.9,
Chlamydia,Colusa,2011,Female,,10515,,,,s
Chlamydia,Colusa,2011,Male,,11111,,,,s
Chlamydia,Colusa,2011,Total,24,21626,111,71.1,165.1,
Chlamydia,Colusa,2012,Female,26,10609,245.1,160.2,358.9,
Chlamydia,Colusa,2012,Male,11,11172,98.5,49.2,176.1,*
Chlamydia,Colusa,2012,Total,38,21781,174.5,123.5,239.4,
Chlamydia,Colusa,2013,Female,,10700,,,,s
Chlamydia,Colusa,2013,Male,,11272,,,,s
Chlamydia,Colusa,2013,Total,23,21972,104.7,66.4,157,
Chlamydia,Colusa,2014,Female,25,10797,231.5,149.9,341.6,
Chlamydia,Colusa,2014,Male,12,11342,105.8,54.7,184.7,
Chlamydia,Colusa,2014,Total,37,22139,167.1,117.7,230.3,
Chlamydia,Colusa,2015,Female,40,10850,368.7,263.5,501.7,
Chlamydia,Colusa,2015,Male,20,11421,175.1,107,270.3,
Chlamydia,Colusa,2015,Total,60,22271,269.4,205.6,346.6,
Chlamydia,Colusa,2016,Female,56,10942,511.8,386.8,664.1,
Chlamydia,Colusa,2016,Male,14,11486,121.9,66.7,204.4,
Chlamydia,Colusa,2016,Total,70,22428,312.1,243.4,394.2,
Chlamydia,Colusa,2017,Female,29,11008,263.4,176.5,378.1,
Chlamydia,Colusa,2017,Male,20,11572,172.8,105.6,266.8,
Chlamydia,Colusa,2017,Total,49,22580,217,160.6,286.8,
Chlamydia,Contra Costa,2001,Female,1724,497442,346.6,330.4,363.3,
Chlamydia,Contra Costa,2001,Male,558,473054,118,108.4,128.2,
Chlamydia,Contra Costa,2001,Total,2298,970496,236.8,227.2,246.7,
Chlamydia,Contra Costa,2002,Female,1821,501572,363.1,346.6,380.1,
Chlamydia,Contra Costa,2002,Male,592,477223,124.1,114.3,134.5,
Chlamydia,Contra Costa,2002,Total,2438,978795,249.1,239.3,259.2,
Chlamydia,Contra Costa,2003,Female,1933,507028,381.2,364.5,398.6,
Chlamydia,Contra Costa,2003,Male,624,482677,129.3,119.3,139.8,
Chlamydia,Contra Costa,2003,Total,2560,989705,258.7,248.8,268.9,
Chlamydia,Contra Costa,2004,Female,2063,511239,403.5,386.3,421.3,
Chlamydia,Contra Costa,2004,Male,690,486962,141.7,131.3,152.7,
Chlamydia,Contra Costa,2004,Total,2756,998201,276.1,265.9,286.6,
Chlamydia,Contra Costa,2005,Female,2151,514168,418.3,400.9,436.4,
Chlamydia,Contra Costa,2005,Male,709,490062,144.7,134.2,155.7,
Chlamydia,Contra Costa,2005,Total,2864,1004230,285.2,274.9,295.8,
Chlamydia,Contra Costa,2006,Female,2373,517107,458.9,440.7,477.7,
Chlamydia,Contra Costa,2006,Male,731,492997,148.3,137.7,159.4,
Chlamydia,Contra Costa,2006,Total,3118,1010104,308.7,298,319.7,
Chlamydia,Contra Costa,2007,Female,2523,522750,482.6,464,501.8,
Chlamydia,Contra Costa,2007,Male,866,498501,173.7,162.4,185.7,
Chlamydia,Contra Costa,2007,Total,3443,1021251,337.1,326,348.6,
Chlamydia,Contra Costa,2008,Female,2830,528831,535.1,515.7,555.2,
Chlamydia,Contra Costa,2008,Male,921,504461,182.6,171,194.7,
Chlamydia,Contra Costa,2008,Total,3785,1033292,366.3,354.7,378.1,
Chlamydia,Contra Costa,2009,Female,2496,533877,467.5,449.4,486.2,
Chlamydia,Contra Costa,2009,Male,844,509624,165.6,154.6,177.2,
Chlamydia,Contra Costa,2009,Total,3390,1043501,324.9,314,336,
Chlamydia,Contra Costa,2010,Female,2829,538728,525.1,506,544.8,
Chlamydia,Contra Costa,2010,Male,1027,512941,200.2,188.2,212.8,
Chlamydia,Contra Costa,2010,Total,3887,1051669,369.6,358.1,381.4,
Chlamydia,Contra Costa,2011,Female,3294,544773,604.7,584.2,625.6,
Chlamydia,Contra Costa,2011,Male,1110,519115,213.8,201.4,226.8,
Chlamydia,Contra Costa,2011,Total,4409,1063888,414.4,402.3,426.8,
Chlamydia,Contra Costa,2012,Female,2771,550717,503.2,484.6,522.2,
Chlamydia,Contra Costa,2012,Male,1042,525108,198.4,186.6,210.8,
Chlamydia,Contra Costa,2012,Total,3827,1075825,355.7,344.6,367.2,
Chlamydia,Contra Costa,2013,Female,2869,557904,514.2,495.6,533.4,
Chlamydia,Contra Costa,2013,Male,1177,532002,221.2,208.8,234.2,
Chlamydia,Contra Costa,2013,Total,4054,1089906,372,360.6,383.6,
Chlamydia,Contra Costa,2014,Female,2997,564354,531.1,512.3,550.4,
Chlamydia,Contra Costa,2014,Male,1214,538894,225.3,212.8,238.3,
Chlamydia,Contra Costa,2014,Total,4219,1103248,382.4,371,394.1,
Chlamydia,Contra Costa,2015,Female,3202,571278,560.5,541.3,580.2,
Chlamydia,Contra Costa,2015,Male,1511,546181,276.6,262.9,290.9,
Chlamydia,Contra Costa,2015,Total,4715,1117459,421.9,410,434.1,
Chlamydia,Contra Costa,2016,Female,3521,577313,609.9,590,630.3,
Chlamydia,Contra Costa,2016,Male,1701,552019,308.1,293.7,323.1,
Chlamydia,Contra Costa,2016,Total,5228,1129332,462.9,450.5,475.6,
Chlamydia,Contra Costa,2017,Female,3801,581404,653.8,633.2,674.8,
Chlamydia,Contra Costa,2017,Male,1919,556635,344.8,329.5,360.5,
Chlamydia,Contra Costa,2017,Total,5735,1138039,503.9,491,517.1,
Chlamydia,Del Norte,2001,Female,28,12253,228.5,151.9,330.1,
